Views,SubCount,VideoCount
6968877.801010251,1967.232189804316,7.9999998807907104
6973089.324936032,1970.2126983702185,7.999999821186067
6977298.348373532,1973.1136976778507,7.999999761581421
6981472.946518064,1975.9691256582737,7.999999701976776
6985634.856186032,1978.7994803488255,7.999999642372131
6989790.30052197,1981.6159991323948,7.9999995827674875
6993942.707748532,1984.4247628748417,7.999999523162843
6998093.663314939,1987.2290200293066,7.999999463558197
7002243.926010251,1990.03049197793,7.999999403953552
7006393.859604001,1992.830091625452,7.9999993443489075
7010543.634506345,1995.628310829401,7.999999284744263
7014693.333725095,1998.4254261553288,7.999999225139617
7018842.998764157,2001.2216035425665,7.999999165534973
7022992.646713376,2004.0169545710087,7.9999991059303275
7027142.28489697,2006.8115607798102,7.999999046325684
7031291.920639157,2009.6054891645908,7.999998986721039
7035441.553939939,2012.3987964689727,7.999998927116394
7039591.18724072,2015.1915337145329,7.999998867511749
7043740.820541501,2017.983746916056,7.999998807907104
7047890.451400876,2020.775477796793,7.99999874830246
7052040.082260251,2023.5667652189727,7.999998688697815
7056189.713119626,2026.3576437532904,7.99999862909317
7060339.343979001,2029.148146301508,7.999998569488525
7064488.974838376,2031.938302189112,7.999998509883881
7068638.605697751,2034.728138834238,7.999998450279236
7072788.236557126,2037.5176815092566,7.999998390674591
7076937.867416501,2040.3069533407688,7.999998331069946
7081087.498275876,2043.0959753096106,7.999998271465301
7085237.129135251,2045.8847674429417,7.999998211860657
7089386.759994626,2048.673347622156,7.999998152256013
7093536.390854001,2051.461732298136,7.999998092651367
7097686.021713376,2054.249936968088,7.999998033046722
7101835.652572751,2057.0379754602914,7.999997973442078
7105985.283432126,2059.825861364603,7.999997913837433
7110134.914291501,2062.613606125117,7.999997854232787
7114284.545150876,2065.4012211859226,7.999997794628142
7118434.176010251,2068.188716560602,7.999997735023498
7122583.806869626,2070.97610154748,7.999997675418854
7126733.437729001,2073.7633847296242,7.999997615814209
7130883.068588376,2076.550574213267,7.999997556209563
7135032.699447751,2079.3376773893838,7.999997496604919
7139182.330307126,2082.1247009336953,7.9999974370002755
7143331.961166501,2084.911651045084,7.99999737739563
7147481.592025876,2087.6985336840157,7.999997317790985
7151631.222885251,2090.4853540956974,7.99999725818634
7155780.853744626,2093.272117048502,7.9999971985816964
7159930.484604001,2096.058826833964,7.999997138977051
7164080.115463376,2098.8454882204533,7.999997079372406
7168229.746322751,2101.6321047842507,7.999997019767761
7172379.377182126,2104.4186796247964,7.9999969601631165
7176529.008041501,2107.2052163183694,7.999996900558473
7180678.638900876,2109.991717725992,7.999996840953827
7184828.269760251,2112.7781867086887,7.999996781349182
7188977.900619626,2115.5646258890633,7.999996721744537
7193127.531479001,2118.3510374128823,7.999996662139893
7197277.162338376,2121.1374236643314,7.999996602535247
7201426.793197751,2123.9237863123417,7.999996542930603
7205576.424057126,2126.710127741099,7.999996483325957
7209726.054916501,2129.4964491426945,7.9999964237213135
7213875.685775876,2132.282752662897,7.999996364116669
7218025.316635251,2135.069039016962,7.999996304512024
7222174.947494626,2137.85530987382,7.999996244907379
7226324.578354001,2140.6415664255624,7.9999961853027335
7230474.209213376,2143.4278098642826,7.99999612569809
7234623.840072751,2146.2140411436562,7.999996066093445
7238773.470932126,2149.000260978937,7.9999960064888
7242923.101791501,2151.78647056222,7.999995946884155
7247072.732650876,2154.572670608759,7.9999958872795105
7251222.363510251,2157.3588618338113,7.999995827674866
7255371.994369626,2160.145044952631,7.999995768070222
7259521.625229001,2162.9312209188943,7.999995708465576
7263671.256088376,2165.7173899710183,7.999995648860931
7267820.886947751,2168.5035523474216,7.999995589256287
7271970.517807126,2171.289709240198,7.999995529651643
7276120.148666501,2174.0758606493478,7.999995470046997
7280269.779525876,2176.8620070517068,7.999995410442352
7284419.410385251,2179.648148924113,7.9999953508377075
7288569.041244626,2182.4342865049844,7.999995291233063
7292718.672104001,2185.2204205095773,7.999995231628418
7296868.302963376,2188.006550937891,7.999995172023772
7301017.933822751,2190.792677551508,7.999995112419128
7305167.564682126,2193.578801304102,7.999995052814484
7309317.195541501,2196.364922434092,7.999994993209839
7313466.826400876,2199.1510409414773,7.999994933605193
7317616.457260251,2201.9371568262577,7.999994874000549
7321766.088119626,2204.72327080369,7.999994814395904
7325915.718979001,2207.509382635355,7.99999475479126
7330065.349838376,2210.295492559672,7.999994695186615
7334214.980697751,2213.0816008150573,7.99999463558197
7338364.611557126,2215.867707401514,7.999994575977325
